study_title,value_MONDO,value_BTO,value_UBERON,value_MEDDRA,value_DRON
zika virus disrupts phospho-tbk1 localization and mitosis in human neural stem cell model systems,zika virus infectious disease,neural stem cell,localization,virus,null
rna sequencing of single human islet cells reveals type 2 diabetes genes,type 2 diabetes mellitus,null,null,human,rna
single cell transcriptomic analyses of human pancreatic islets,null,null,cell,cell,null
"single cell rna-seq of human pancreatic endocrine cells from juvenile, adult control and type 2 diabetic donors.",null,juvenile,cell,cell,rna
single cell transcriptome conservation in cryopreserved cells and tissues,null,null,cell,cell,null
single cell rna-sequencing identifies diverse roles of epithelial cells in idiopathic pulmonary fibrosis,idiopathic pulmonary fibrosis,null,cell,cell,rna
region-specific neural stem cell lineages revealed by single-cell rna-seq from human embryonic stem cells [smart-seq],null,neural stem cell,neuronal stem cell,cell,rna
region-specific neural stem cell lineages revealed by single-cell rna-seq from human embryonic stem cells [cel-seq],"chronic eosinophilic leukemia, not otherwise specified",neural stem cell,neuronal stem cell,cell,rna
the nature and nurture of cell heterogeneity: accounting for macrophage gene-environment interactions with single-cell rna-seq,null,macrophage,cell,cell,rna
single-cell rna-seq reveals heterogeneity within human pre-cdcs,null,null,cell,cell,rna
single cell rnaseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,null,interneuron,cell,cell,null
identification of microarray probe signals constantly present in multiple sample types (part 2),null,null,null,null,null
gene expression analysis of cd4+ and cd4- ilc1 subsets by rnaseq,null,null,ilc1,null,null
"geo accession gse74246 is currently private and is scheduled to be released on mar 01, 2016.",chromosome 5q deletion syndrome,null,null,null,null
differential gene expression in jagged1 treated human dental pulp cells.,null,dental pulp,dental pulp,human,null
tumor cell-specific inhibition of myc function using small molecule inhibitors of the huwe1 ubiquitin ligase,neoplasm (disease),null,neoplastic cell,cell,function
identification of transcripts altered upon lin-41 knockdown in human embryonic stem cells,lobular neoplasia,stem,null,human,null
transcriptomic characterization of hepatocellular carcinoma with ctnnb1 mutation,hepatocellular carcinoma,null,null,hepatocellular carcinoma,null
psychoactive pharmaceuticals at environmental concentrations induce in vitro gene expressions associated with neurological disorders,disease or disorder,null,null,null,null
mrna expressions in pre-treatment melanomas undergoing anti-pd-1 checkpoint inhibition therapy,null,null,pigmented layer of retina,null,treatment
multiple waves of transcriptome changes during extended hypoxic induction in human pulmonary microvascular endothelial cells,endotheliitis,null,null,hypoxic,null
altered regulation and expression of genes by bet family of proteins in alveolar macrophages from copd patients,chronic obstructive pulmonary disease,null,null,copd,glycine betaine
snhg5 sirna  knock down in hct116 cells,null,null,null,null,null
rnaseq from disomic and trisomic t cells and monocytes,null,null,null,monocytes,null
specific molecular signatures underlie response to decitabine in cmml [rna-seq],chronic myelomonocytic leukemia,null,null,null,decitabine
a genome-wide analysis of human pluripotent stem cell-derived endothelial cells cultured in synthetic hydrogels compared to standard 2d or 3d cell culture platforms,endotheliitis,hpsc cell,pluripotent stem cell,human,null
accessory subunits are integral for assembly and function of human mitochondrial complex i,null,null,null,human,function
generation of mature t cells from human hematopoietic stem/progenitor cells in artificial thymic organoids,null,stem,null,human,null
airway epithelial cells from high-risk subjects obtained via multiple bronchoscopy procedures to follow bronchial premalignant lesions as part of lung cancer screening,lung cancer,lung,respiratory tube,bronchoscopy,null
the abrf next-generation sequencing study (abrf-ngs): multi-platform and cross-methodological reproducibility of transcriptome profiling by rna-seq [454 gs flx titanium],null,null,null,null,rna
systematic mapping of functional enhancer-promoter connections with crispr interference,null,null,null,null,null
deep transcriptional sequencing analysis of human prostate adenocarcinoma and reference samples,prostate adenocarcinoma,prostate gland,prostate gland,human,null
activin/smad2-induced h3k27me3 reduction is crucial to initiate mesendoderm differentiation of es cells,null,mesendoderm,hypoblast (generic),null,null
"human liver rna-seq data corresponding to uninfected non-malignant, hcv infected non-malignant, and hcv+ hcc tissue",hepatocellular carcinoma,liver,liver,human,rna
analysis of long non-coding rnas highlights tissue-specific expression patterns and epigenetic profiles in normal and psoriatic skin,skin neoplasm,skin,tissue,tissue,null
benchmarking of rna-sequencing analysis workflows using whole-transcriptome rt-qpcr expression data,null,null,null,null,rna
"transcriptomic analysis of plasmodium pbanka, pbsltrip-ko, pb268-ko parasite infected and uninfected host cell",null,plasmodium,cell,cell,null
"geo accession gse80098 is currently private and is scheduled to be released on jun 01, 2016.",null,null,null,null,null
gene networks and blood biomarkers of methamphetamine-associated psychosis: a preliminary integrative rna-sequencing report,psychotic disorder,blood,blood,psychosis,methamphetamine
muscle transcriptome analysis following total knee arthroplasty with tourniquet,null,muscle,muscle organ,knee arthroplasty,null
aberrant transcriptional networks in neurogenesis of paroxysmal kinesigenic dyskinesia-induced pluripotent stem cell lines though neural induction method of dual inhibition of smad signaling,episodic kinesigenic dyskinesia 1,pluripotent stem cell,neurogenesis,dyskinesia,null
mll-af4 binds directly to a bcl-2 specific enhancer and impacts h3k27 acetylation,null,null,null,null,null
dual rna-seq –  dual rna-seq of further srna mutants,null,null,null,null,rna
transcriptome profiling of hematopoietic cells derived from human pluripotent stem cells,null,stem,null,human,null
adenosine-to-inosine rna editing controls cathepsin s expression in atherosclerosis by enabling hur-mediated post-transcriptional regulation,atherosclerosis,null,postsubiculum,atherosclerosis,adenosine
molecular alterations associated with breast cancer progression in the isogenic mcf10 model,breast cancer,breast,breast,breast cancer,null
oncogenic role of fusion-circrnas derived from cancer associated chromosomal translocations,cancer,null,rostral octaval nerve motor nucleus,cancer,role
partially exhausted cd8+ t cells are associated with clinically beneficial response to teplizumab in new onset type i diabetes (bulk rna-seq of sorted cd8+ t-cells),type 1 diabetes mellitus,null,null,diabetes,rna
transcriptionally inactive atf2 variant drives melanomagenesis [seq],null,null,null,null,null
cd4+ t cells gene expression-based biomarkers in juvenile idiopathic arthritis (jia),juvenile idiopathic arthritis,juvenile,juvenile,juvenile idiopathic arthritis,null
erbb3 and ngfr mark distinct skeletal muscle progenitor cells in human development enabling enrichment and maturation of hpsc muscle,null,skeletal muscle,skeletal muscle organ,human,null
genome-wide transcriptome analysis of cd36 overexpression in hepg2.2.15 cells to explore its regulation role of metabolism and hbv life cycle,null,null,rostral octaval nerve motor nucleus,null,role
rna-seq of human astrocytes,null,null,null,human,rna
self-organized amniogenesis by human pluripotent stem cells in a biomimetic implantation-like niche,null,stem,null,human,null
bronchial brushing rna-seq from cystic fibrosis patients,cystic fibrosis,null,null,cystic fibrosis,rna
environmental factors transmitted by aryl hydrocarbon receptor influence severity of psoriatic skin inflammation [rna-seq],dermatitis,skin,hydrocarbon,receptor,hydrocarbon
global response to chemotherapy-induced apoptosis,null,null,null,chemotherapy,null
hyper-excitability of neurons generated from patients with bipolar disorder,bipolar disorder,null,null,excitability,null
the transcriptional characterization of different states of cancer stem cells in triple-negative breast cancer,cancer,stem,breast,cancer,null
pol ii and its associated epigenetic marks are present at pol iii-transcribed non-coding rna genes (ii),null,null,null,null,rna
egfr and mek pathway signature rna-seq datasets,null,null,null,null,rna
dynamic gene regulatory networks of human myeloid differentiation [rna-seq_sirna],null,null,null,human,rna
the transcriptome and chromatin accessbility landscape of mammalian germline,null,null,null,null,null
aberrant splicing of u12-type introns is the hallmark of zrsr2 mutant myelodysplastic syndrome,myelodysplastic syndrome,null,null,myelodysplastic syndrome,null
rnaseq analysis of patient-derived luminal breast cancer xenografts treated with progestins,breast tumor luminal a or b,breast,breast,breast cancer,phenobarbital
predominant trub1-dependent pseudouridylation of mammalian mrna via a predictable and conserved code,null,null,null,null,null
exosome homo-sapiens transcriptome or gene expression,null,null,homo,null,null
region-specific neural stem cell lineages revealed by single-cell rna-seq from human embryonic stem cells [population],null,neural stem cell,neuronal stem cell,cell,rna
the cohesin release factor wapl restricts chromatin loop extension. [rna-seq],null,null,extension,null,rna
ifn-? induced modes regulated by histone deacetylases and protein tyrosine phosphatases in human choriocarcinoma cells.,choriocarcinoma of testis,null,protein,protein,protein
transcriptomic analysis of human neural progenitor cells differentiation into astrocytes,null,null,null,human,null
molecular signatures associated with zikv exposure in human cortical neural progenitors,null,null,null,human,null
